Transaktionsexport;;;;;;2026-09-05 14:43:46
2026-03-14;2026-03-15;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;345.7
2026-03-13;2026-03-14;BONNIER NEWS;STOCKHOLM;SEK;0.0;169.0
2026-03-13;2026-03-14;DELI AND COFFEE;MOLNLYCKE NOR;SEK;0.0;155.0
2026-03-13;2026-03-13;EASYPARK;EASYPARK.SE;SEK;0.0;16.72
2026-03-13;2026-03-14;NK BEAUTY GBG;GA.TEBORG;SEK;0.0;560.0
2026-03-13;2026-03-16;STEAM PURCHASE;SEATTLE;EUR;22.99;252.91
2026-03-13;2026-03-14;UBR* PENDING.UBER.COM;AMSTERDAM;SEK;0.0;91.0
2026-03-13;2026-03-14;UNDERGROUND GOLF GOTEB;GOETEBORG;SEK;0.0;38.0
2026-03-13;2026-03-14;UNDERGROUND GOLF GOTEB;GOETEBORG;SEK;0.0;89.0
2026-03-12;2026-03-13;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;70.0
2026-03-12;2026-03-13;ESPRESSO HOUSE 420;GOETEBORG;SEK;0.0;57.0
2026-03-12;2026-03-13;HARMONI DUMPLINGS;GOTEBORG;SEK;0.0;85.0
2026-03-11;2026-03-12;ALDARDO;GOTEBORG;SEK;0.0;155.0
2026-03-11;2026-03-12;SVEA BANK AB;SOLNA;SEK;0.0;6694.0
2026-03-11;2026-03-12;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;264.9
2026-03-11;2026-03-12;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;449.71
2026-03-10;2026-03-10;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;93.0
2026-03-10;2026-03-11;HOLY GREENS AB;MALMOE;SEK;0.0;178.0
2026-03-10;2026-03-11;JACY'Z HOTEL &;GOTEBORG;SEK;0.0;105.0
2026-03-10;2026-03-11;SNUSBOLAGET.SE;HANINGE;SEK;0.0;1079.7
2026-03-09;2026-03-10;JOEANDTHEJUICE;GATEBORG;SEK;0.0;188.0
2026-03-08;2026-03-09;CHOPCHOP MJOLBY;MJOLBY;SEK;0.0;288.0
2026-03-08;2026-03-09;EASYPARK;EASYPARK.SE;SEK;0.0;103.5
2026-03-08;2026-03-09;NK BEAUTY;STOCKHOLM;SEK;0.0;510.0
2026-03-08;2026-03-09;NK KOK & DESIGN;STOCKHOLM;SEK;0.0;149.0
2026-03-08;2026-03-10;OKQ8;NYKÖPING;SEK;0.0;42.0
2026-03-08;2026-03-10;OKQ8;NYKÖPING;SEK;0.0;626.75
2026-03-08;2026-03-09;PARKADEN;STOCKHOLM;SEK;0.0;20.0
2026-03-08;2026-03-09;THELINS GRAND CAFE;STOCKHOLM;SEK;0.0;209.0
2026-03-07;2026-03-09;ICA SUPERMARKET RINGEN;STOCKHOLM;SEK;0.0;450.03
2026-03-07;2026-03-09;PLAN4 RESTAURANG AB;STOCKHOLM;SEK;0.0;45.0
2026-03-07;2026-03-09;PLAN4 RESTAURANG AB;STOCKHOLM;SEK;0.0;95.0
2026-03-07;2026-03-09;SL;STOCKHOLM;SEK;0.0;43.0
2026-03-07;2026-03-09;SVENSKT TENN;STOCKHOLM;SEK;0.0;560.0
2026-03-07;2026-03-09;THE FISHERY;STOCKHOLM;SEK;0.0;150.0
2026-03-07;2026-03-09;THE FISHERY;STOCKHOLM;SEK;0.0;210.0
2026-03-07;2026-03-09;ZETTLE_*CARPENTER HILL;STOCKHOLM;SEK;0.0;288.0
2026-03-06;2026-03-09;AMAZON PRIME;LUXEMBOURG;SEK;0.0;69.0
2026-03-06;2026-03-09;CIRCLE K ULRICEHAMN;ULRICEHAMN;SEK;0.0;130.0
2026-03-06;2026-03-09;CLARIONHOTELSTOCKH;STOCKHOLM;SEK;0.0;3258.05
2026-03-06;2026-03-06;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;58.0
2026-03-06;2026-03-09;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;338.0
2026-03-05;2026-03-06;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;164.3
2026-03-05;2026-03-06;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;289.16
2026-03-04;2026-03-05;BEETS DROTTNINGGATAN;GOTEBORG;SEK;0.0;155.0
2026-03-04;2026-03-04;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;93.0
2026-03-04;2026-03-05;LOOMISP*STEINBRENNER N;GOTEBORG;SEK;0.0;71.0
2026-03-03;2026-03-04;KAFFELABBET MWJ AB;GOETEBORG;SEK;0.0;104.0
2026-03-01;2026-03-02;ARKET SE0702;GOETEBORG;SEK;0.0;49.0
2026-03-01;2026-03-02;BILIA;SOLNA;SEK;0.0;189.0
2026-03-01;2026-03-02;BOUTIQUE TINNA;G¦TEBORG;SEK;0.0;380.0
2026-03-01;2026-03-02;DESIGNTORGET OSTRA H;GOETEBORG;SEK;0.0;202.0
2026-03-01;2026-03-02;NK KIDS & TEENS GBG;GA.TEBORG;SEK;0.0;129.0
2026-03-01;2026-03-02;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;270.22
2026-03-01;2026-03-02;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;328.09
2026-02-28;2026-03-02;ESPRESSO HOUSE 236;GOETEBORG;SEK;0.0;58.0
2026-02-28;2026-03-02;FLORAMORAOCHKRUKATOSAB;GOTEBORG;SEK;0.0;269.0
2026-02-28;2026-03-02;HELP.HBOMAX.COM;STOCKHOLM;SEK;0.0;74.5
2026-02-28;2026-03-02;IKEA KALLERED HFB ECO;KALLERED;SEK;0.0;801.0
2026-02-27;2026-02-27;EASYPARK;EASYPARK.SE;SEK;0.0;34.85
2026-02-27;2026-03-02;FLORAMORAOCHKRUKATOSAB;GOTEBORG;SEK;0.0;548.0
2026-02-27;2026-03-02;FOODIE;GOTEBORG;SEK;0.0;169.0
2026-02-27;2026-03-02;GOTEBORG CITY MAT &;GOTEBORG;SEK;0.0;239.0
2026-02-27;2026-03-02;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;226.5
2026-02-27;2026-03-02;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;213.06
2026-02-26;2026-02-27;ALDARDO;GOTEBORG;SEK;0.0;155.0
2026-02-26;;BETALT BG DATUM 260226;;SEK;0.0;-39364.9
2026-02-26;2026-02-26;ESPRESSO HOUSE 420;GOETEBORG;SEK;0.0;57.0
2026-02-25;2026-02-26;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;22.0
2026-02-25;2026-02-25;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;93.0
2026-02-25;2026-02-25;HOLY GREENS AB;MALMOE;SEK;0.0;190.0
2026-02-24;2026-02-24;ESPRESSO HOUSE 236;GOETEBORG;SEK;0.0;58.0
2026-02-24;2026-02-25;PRESSBYRAN GBG CSTN;GOETEBORG;SEK;0.0;79.0
2026-02-23;2026-02-24;7-ELEVEN 4215200;GOETEBORG;SEK;0.0;103.0
2026-02-23;2026-02-24;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;58.0
2026-02-22;2026-02-23;MAXI ICA STORMARKNAD G;GOTEBORG;SEK;0.0;828.81
2026-02-21;2026-02-23;BUTIK NORRVIKEN;BASTAD;SEK;0.0;838.0
2026-02-21;2026-02-23;MAXI ICA STORMARKNAD M;MELLBYSTRAND;SEK;0.0;294.9
2026-02-21;2026-02-23;ZETTLE_*CHOCOLATERIAN;BASTAD;SEK;0.0;404.0
2026-02-20;2026-02-23;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;37.0
2026-02-20;2026-02-23;BEETS DROTTNINGGATAN;GOTEBORG;SEK;0.0;185.0
2026-02-20;2026-02-20;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;35.0
2026-02-20;2026-02-23;ST1 G¦TEBORG STUREPLAT;G¦TEBORG;SEK;0.0;439.83
2026-02-19;2026-02-19;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;58.0
2026-02-19;2026-02-19;HOLY GREENS AB;MALMOE;SEK;0.0;190.0
2026-02-18;2026-02-19;7-ELEVEN 4215200;GOETEBORG;SEK;0.0;70.41
2026-02-18;2026-02-19;FOODORA AB;STOCKHOLM;SEK;0.0;432.0
2026-02-18;2026-02-18;SPOTIFY P3F7728ECD;STOCKHOLM;SEK;0.0;129.0
2026-02-16;2026-02-17;LIDL329GBGKUNGSGATAN;STOCKHOLM;SEK;0.0;24.8
2026-02-16;2026-02-16;NETFLIX.COM;AMSTERDAM;SEK;0.0;199.0
2026-02-16;2026-02-17;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;73.7
2026-02-15;2026-02-16;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;37.06
2026-02-14;2026-02-16;BABYSAM SISJÖN;ASKIM;SEK;0.0;747.0
2026-02-14;2026-02-16;BILIA;SOLNA;SEK;0.0;108.0
2026-02-14;2026-02-16;MAXI ICA STORMARKNAD G;GOTEBORG;SEK;0.0;53.5
2026-02-14;2026-02-16;MAXI ICA STORMARKNAD G;GOTEBORG;SEK;0.0;791.04
2026-02-14;2026-02-16;VASTTRAFIK TO GO;SKOVDE;SEK;0.0;74.0
2026-02-14;2026-02-16;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;278.6
2026-02-13;2026-02-16;BONNIER NEWS;STOCKHOLM;SEK;0.0;25.0
2026-02-13;2026-02-16;GOTEBORG CITY MAT &;GOTEBORG;SEK;0.0;118.0
2026-02-13;2026-02-16;HASSELSSONS MACKLUCKA;GOTEBORG;SEK;0.0;125.0
2026-02-13;2026-02-16;LEXINGTON HOME GOT;GOTEBORG;SEK;0.0;758.0
2026-02-13;2026-02-16;NK BEAUTY GBG;GA.TEBORG;SEK;0.0;470.0
2026-02-13;2026-02-16;NK KOK & DESIGN GBG;GA.TEBORG;SEK;0.0;108.0
2026-02-13;2026-02-16;NK VASKOR & ACCESSOARE;GOTEBORG;SEK;0.0;1000.0
2026-02-13;2026-02-16;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;208.0
2026-02-13;2026-02-16;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;249.05
2026-02-13;2026-02-16;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;342.06
2026-02-12;2026-02-12;BOLT.EUO2602120659;TALLINN;SEK;0.0;102.0
2026-02-12;2026-02-12;ESPRESSO HOUSE 420;GOETEBORG;SEK;0.0;57.0
2026-02-12;2026-02-13;JOEANDTHEJUICE;GATEBORG;SEK;0.0;184.0
2026-02-12;2026-02-13;UBR* PENDING.UBER.COM;AMSTERDAM;SEK;0.0;75.0
2026-02-12;2026-02-13;VASTTRAFIK TO GO;SKOVDE;SEK;0.0;37.0
2026-02-12;2026-02-13;VASTTRAFIK TO GO;SKOVDE;SEK;0.0;74.0
2026-02-11;2026-02-12;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;59.0
2026-02-11;2026-02-12;HASSELSSONS MACKLUCKA;GOTEBORG;SEK;0.0;285.0
2026-02-11;2026-02-12;TRATTORIA FONTANA DI T;GOTEBORG;SEK;0.0;1007.6
2026-02-10;2026-02-10;7-ELEVEN 4116150;GOETEBORG;SEK;0.0;68.0
2026-02-10;2026-02-11;BEETS DROTTNINGGATAN;GOTEBORG;SEK;0.0;155.0
2026-02-10;2026-02-11;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;79.14
2026-02-09;2026-02-09;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;107.0
2026-02-09;2026-02-09;SALUHALLEN WRAPSODY;GOETEBORG;SEK;0.0;35.0
2026-02-09;2026-02-09;SALUHALLEN WRAPSODY;GOETEBORG;SEK;0.0;149.0
2026-02-08;2026-02-09;GOURMETKORV GRONSAKSTO;GOTEBORG;SEK;0.0;272.0
2026-02-08;2026-02-09;SNUSBOLAGET.SE;HANINGE;SEK;0.0;1077.9
2026-02-08;2026-02-09;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;159.08
2026-02-07;2026-02-09;BLOMSTERLANDET;ASKIM;SEK;0.0;30.0
2026-02-07;2026-02-09;UBR* PENDING.UBER.COM;AMSTERDAM;SEK;0.0;128.0
2026-02-07;2026-02-09;VASTTRAFIK TO GO;SKOVDE;SEK;0.0;37.0
2026-02-07;2026-02-11;W*MMSPORTS.SE;ASKIM;SEK;0.0;1149.0
2026-02-07;2026-02-09;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;106.47
2026-02-07;2026-02-09;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;158.9
2026-02-06;2026-02-09;AMAZON PRIME;LUXEMBOURG;SEK;0.0;69.0
2026-02-06;2026-02-09;BROGYLLEN SALUHALL P;GOETEBORG;SEK;0.0;90.0
2026-02-06;2026-02-09;HARMONI DUMPLINGS;GOTEBORG;SEK;0.0;85.0
2026-02-06;2026-02-09;LIDL329GBGKUNGSGATAN;GOTEBORG;SEK;0.0;94.68
2026-02-06;2026-02-06;LOOMISP*STEINBRENNER N;GOTEBORG;SEK;0.0;81.0
2026-02-05;2026-02-06;ARKET SE0702;GOETEBORG;SEK;0.0;149.0
2026-02-05;2026-02-05;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;93.0
2026-02-05;2026-02-06;LIDL329GBGKUNGSGATAN;GOTEBORG;SEK;0.0;19.9
2026-02-04;2026-02-05;7-ELEVEN KORSETTEN;GOETEBORG;SEK;0.0;90.0
2026-02-03;2026-02-03;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;58.0
2026-02-03;2026-02-04;HOLY GREENS AB;MALMOE;SEK;0.0;193.0
2026-02-03;2026-02-04;TWILFIT AB;GOTEBORG;SEK;0.0;549.95
2026-02-02;2026-02-03;AHLENS GOETEBORG KUNGS;GOETEBORG;SEK;0.0;125.0
2026-02-02;2026-02-03;APOTEK HJARTAT KUNGSGA;GOTEBORG;SEK;0.0;90.9
2026-02-02;2026-02-03;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;119.7
2026-02-02;2026-02-03;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;186.72
2026-02-01;2026-02-02;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;404.34
2026-01-31;2026-02-02;KAMPANILEN BAGERI O;GOTEBORG;SEK;0.0;152.0
2026-01-31;2026-02-02;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;434.46
2026-01-30;2026-02-02;7-ELEVEN 4116150;GOETEBORG;SEK;0.0;28.0
2026-01-30;2026-02-02;ALDARDO;GOTEBORG;SEK;0.0;155.0
2026-01-30;2026-02-02;LIVLY;GOTEBORG;SEK;0.0;628.0
2026-01-29;2026-01-29;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;107.0
2026-01-29;2026-01-30;VASTTRAFIK TO GO;SKOVDE;SEK;0.0;74.0
2026-01-28;2026-01-29;7-ELEVEN 4215200;GOETEBORG;SEK;0.0;101.0
2026-01-28;2026-01-29;HELP.HBOMAX.COM;STOCKHOLM;SEK;0.0;74.5
2026-01-27;2026-01-28;BEETS DROTTNINGGATAN;GOTEBORG;SEK;0.0;155.0
2026-01-27;2026-01-28;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;283.23
2026-01-26;;BETALT BG DATUM 260126;;SEK;0.0;-58991.76
2026-01-26;2026-01-27;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;106.13
2026-01-26;2026-01-27;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;159.4
2026-01-25;2026-01-26;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;518.0
2026-01-24;2026-01-26;BONNIER NEWS;STOCKHOLM;SEK;0.0;9.0
2026-01-24;2026-01-26;FLUGGER AB;GOTEBORG;SEK;0.0;584.57
2026-01-24;2026-01-26;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;414.0
2026-01-24;2026-01-26;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;14.9
2026-01-24;2026-01-26;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;524.44
2026-01-23;2026-01-23;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;58.0
2026-01-23;2026-01-26;FISKEKROGEN;GOTEBORG;SEK;0.0;5076.75
2026-01-23;2026-01-26;PASTOR - STORA SALUHAL;GOTEBORG;SEK;0.0;270.0
2026-01-23;2026-01-26;SWAY;GOTEBORG;SEK;0.0;630.0
2026-01-23;2026-01-23;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;406.7
2026-01-23;2026-01-26;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;73.7
2026-01-22;2026-01-23;ALDARDO;GOTEBORG;SEK;0.0;155.0
2026-01-22;2026-01-23;CLASOHLSON.COM/SE;INSJON;SEK;0.0;128.9
2026-01-22;2026-01-22;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;49.0
2026-01-22;2026-01-23;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;284.0
2026-01-22;2026-01-23;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;328.74
2026-01-21;2026-01-21;JOE  THE JUICE NG AB;GOETEBORG;SEK;0.0;296.0
2026-01-20;2026-01-21;7-ELEVEN KORSETTEN;GOETEBORG;SEK;0.0;95.0
2026-01-20;2026-01-21;DELI AND COFFEE;MOLNLYCKE NOR;SEK;0.0;125.0
2026-01-19;2026-01-19;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;104.0
2026-01-19;2026-01-19;HOLY GREENS AB;MALMOE;SEK;0.0;185.0
2026-01-19;2026-01-20;LIDL329GBGKUNGSGATAN;STOCKHOLM;SEK;0.0;49.7
2026-01-19;2026-01-20;MARBODAL;GOTEBORG;SEK;0.0;297.0
2026-01-18;2026-01-19;CLASOHLSON.COM/SE;INSJON;SEK;0.0;209.7
2026-01-18;2026-01-19;SPOTIFY P3E8032732;STOCKHOLM;SEK;0.0;129.0
2026-01-17;2026-01-19;GOTEBORG CITY MAT &;GOTEBORG;SEK;0.0;172.0
2026-01-17;2026-01-19;NEWPORT;GOETEBORG;SEK;0.0;1032.5
2026-01-17;2026-01-19;NK KOK & DESIGN GBG;GA.TEBORG;SEK;0.0;598.0
2026-01-17;2026-01-20;SALUT MAT  VINBAR;GOTEBORG;SEK;0.0;1000.0
2026-01-17;2026-01-19;UBR* PENDING.UBER.COM;AMSTERDAM;SEK;0.0;173.0
2026-01-17;2026-01-19;UBR* PENDING.UBER.COM;AMSTERDAM;SEK;0.0;198.0
2026-01-16;2026-01-19;ARKET SE0702;GOETEBORG;SEK;0.0;149.0
2026-01-16;2026-01-16;ESPRESSO HOUSE 236;GOETEBORG;SEK;0.0;58.0
2026-01-16;2026-01-16;NETFLIX.COM;LOS GATOS;SEK;0.0;199.0
2026-01-16;2026-01-19;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;309.1
2026-01-16;2026-01-19;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;337.15
2026-01-15;2026-01-16;KICKS 814 KUNGSG, GO;GOTEBORG;SEK;0.0;390.5
2026-01-15;2026-01-16;LIDL329GBGKUNGSGATAN;GOTERBORG;SEK;0.0;150.84
2026-01-14;2026-01-15;ARKET SE0702;GOETEBORG;SEK;0.0;149.0
2026-01-14;2026-01-14;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;93.0
2026-01-13;2026-01-14;BOLT.EU/O/2601130958;TALLINN;SEK;0.0;107.0
2026-01-13;2026-01-13;ESPRESSO HOUSE 420;GOETEBORG;SEK;0.0;85.0
2026-01-13;2026-01-14;JOEANDTHEJUICE;GATEBORG;SEK;0.0;184.0
2026-01-13;2026-01-13;KLARNA BONNIER-LOCAL;STOCKHOLM;SEK;0.0;25.0
2026-01-13;2026-01-14;STYLE BARBERSHOP;GOTEBORG;SEK;0.0;389.0
2026-01-13;2026-01-14;VASTTRAFIK TO GO;SKOVDE;SEK;0.0;74.0
2026-01-12;2026-01-12;ESPRESSO HOUSE 236;GOETEBORG;SEK;0.0;58.0
2026-01-12;2026-01-13;PASTOR - STORA SALUHAL;GOTEBORG;SEK;0.0;135.0
2026-01-11;2026-01-12;CLASOHLSON.COM/SE;INSJON;SEK;0.0;74.8
2026-01-11;2026-01-12;ESPRESSO HOUSE 236;GOETEBORG;SEK;0.0;58.0
2026-01-11;2026-01-12;TM *TICKETMASTER;TICKETMASTER;SEK;0.0;1770.0
2026-01-11;2026-01-12;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;195.49
2026-01-10;2026-01-12;7-ELEVEN 4215200;GOETEBORG;SEK;0.0;27.0
2026-01-10;2026-01-12;ESPRESSO HOUSE 236;GOETEBORG;SEK;0.0;58.0
2026-01-10;2026-01-12;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;275.88
2026-01-09;2026-01-12;FOODORA AB;STOCKHOLM;SEK;0.0;419.0
2026-01-08;2026-01-09;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;130.97
2026-01-07;2026-01-08;ARKET SE0702;GOETEBORG;SEK;0.0;196.0
2026-01-07;2026-01-08;SNUSBOLAGET.SE;HANINGE;SEK;0.0;1139.9
2026-01-07;2026-01-09;W*MMSPORTS.SE;ASKIM;SEK;0.0;1326.0
2026-01-07;2026-01-08;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;43.9
2026-01-07;2026-01-08;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;271.34
2026-01-07;2026-01-08;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;427.1
2026-01-06;2026-01-07;AMAZON PRIME;LUXEMBOURG;SEK;0.0;69.0
2026-01-06;2026-01-07;NK BEAUTY GBG;GA.TEBORG;SEK;0.0;620.0
2026-01-06;2026-01-07;UBR* PENDING.UBER.COM;AMSTERDAM;SEK;0.0;85.0
2026-01-06;2026-01-07;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;87.8
2026-01-05;2026-01-07;APOTEK HJARTAT KUNGSGA;GOTEBORG;SEK;0.0;39.9
2026-01-05;2026-01-07;BOSS GBG;GA.TEBORG;SEK;0.0;4549.0
2026-01-05;2026-01-07;JOEANDTHEJUICE;GATEBORG;SEK;0.0;184.0
2026-01-05;2026-01-07;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;941.0
2026-01-05;2026-01-07;VACKER NK GÖTEB;GOTEBORG;SEK;0.0;628.6
2026-01-05;2026-01-07;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;43.9
2026-01-05;2026-01-07;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;111.5
2026-01-05;2026-01-07;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;280.3
2026-01-05;2026-01-07;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;408.76
2026-01-04;2026-01-05;ESPRESSO HOUSE 236;GOETEBORG;SEK;0.0;58.0
2026-01-04;2026-01-05;LIDL329GBGKUNGSGATAN;GOTERBORG;SEK;0.0;140.4
2026-01-04;2026-01-07;Q*LAMPGROSSEN.SE;VELLINGE;SEK;0.0;337.0
2026-01-03;2026-01-05;HESTRA GOTHENBURG;GOTHENBURG;SEK;0.0;1400.0
2026-01-02;2026-01-05;LOOMISP*STEINBRENNER-9;MOLNDAL;SEK;0.0;317.0
2026-01-02;2026-01-05;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;137.37
2026-01-02;2026-01-05;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;216.2
2026-01-01;2026-01-02;NINTENDO CB1537289961;FRANKFURT AM;SEK;0.0;199.0
2026-01-01;2026-01-02;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;47.0
2025-12-31;2026-01-02;7-ELEVEN 4116150;GOETEBORG;SEK;0.0;53.0
2025-12-31;2026-01-02;AKADEMIBOKHANDE;GÖTEBORG;SEK;0.0;598.0
2025-12-31;2026-01-02;ICA KVANTUM LERUM;LERUM;SEK;0.0;1272.07
2025-12-30;2026-01-02;CAPRIS;GOTEBORG;SEK;0.0;650.0
2025-12-30;2026-01-02;ESPRESSO HOUSE 420;GOETEBORG;SEK;0.0;57.0
2025-12-30;2026-01-02;NK INREDNING;GA.TEBORG;SEK;0.0;349.0
2025-12-30;2026-01-02;PRESSBYRAN OESTRA SJUK;GOETEBORG;SEK;0.0;52.0
2025-12-30;2026-01-02;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;418.0
2025-12-30;2026-01-02;VASTTRAFIK TO GO;SKOVDE;SEK;0.0;74.0
2025-12-30;2026-01-02;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;237.27
2025-12-29;2025-12-30;BEETS SALADS BAR;GOTEBORG;SEK;0.0;318.0
2025-12-29;;BETALT BG DATUM 251229;;SEK;0.0;-26006.32
2025-12-29;2025-12-30;BOLT.EU/O/2512291128;TALLINN;SEK;0.0;162.0
2025-12-29;2025-12-29;ESPRESSO HOUSE 420;GOETEBORG;SEK;0.0;43.0
2025-12-29;2025-12-30;ESPRESSO HOUSE 420;GOETEBORG;SEK;0.0;57.0
2025-12-29;2025-12-30;VASTTRAFIK TO GO;SKOVDE;SEK;0.0;74.0
2025-12-28;2025-12-29;HELP.HBOMAX.COM;STOCKHOLM;SEK;0.0;74.5
2025-12-28;2025-12-29;HEMTEX KUNGSGAT;GOTEBORG;SEK;0.0;829.8
2025-12-28;2025-12-29;MM SPORTS AB;GOTEBORG;SEK;0.0;79.0
2025-12-28;2025-12-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;115.03
2025-12-28;2025-12-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;262.28
2025-12-27;2025-12-29;ESPRESSO HOUSE 157;GOETEBORG;SEK;0.0;162.0
2025-12-27;2025-12-29;TWIST & TANGO;GOTEBORG;SEK;0.0;499.0
2025-12-27;2025-12-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;335.1
2025-12-26;2025-12-29;7-ELEVEN 4215200;GOETEBORG;SEK;0.0;48.0
2025-12-26;2025-12-29;ST1 G¦TEBORG STUREPLAT;G¦TEBORG;SEK;0.0;550.59
2025-12-25;2025-12-29;BOLT.EU/O/2512250019;TALLINN;SEK;0.0;97.0
2025-12-25;2025-12-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;998.44
2025-12-24;2025-12-29;BOLT.EU/O/2512240854;TALLINN;SEK;0.0;103.0
2025-12-23;2025-12-29;FESKEKORKA;GOTEBORG;SEK;0.0;509.0
2025-12-23;2025-12-29;NEWPORT;GOETEBORG;SEK;0.0;756.0
2025-12-23;2025-12-29;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;963.6
2025-12-23;2025-12-29;UBR* PENDING.UBER.COM;AMSTERDAM;SEK;0.0;95.0
2025-12-23;2025-12-29;UBR* PENDING.UBER.COM;AMSTERDAM;SEK;0.0;101.0
2025-12-23;2025-12-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;282.7
2025-12-23;2025-12-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;399.8
2025-12-22;2025-12-23;APOTEK HJARTAT KUNGSGA;GOTEBORG;SEK;0.0;39.9
2025-12-22;2025-12-22;BOLT.EU/O/2512212252;TALLINN;SEK;0.0;84.0
2025-12-22;2025-12-23;BOLT.EU/O/2512221445;TALLINN;SEK;0.0;116.0
2025-12-22;2025-12-23;DIREKTEN OSTRA SJUKH;GOTEBORG;SEK;0.0;131.0
2025-12-22;2025-12-23;FOODORA AB;STOCKHOLM;SEK;0.0;569.0
